=cclite logging file

2011/08/06 17:15:10 WARN> cclite.cgi:329 main:: - corrupt token or spoofing attempt from: test2test2 127.0.0.1
2011/08/06 17:15:10 DEBUG> Ccu.pm:949 Ccu::pretty_caller - p:main l:369 f:Cclite::logoff_user
2011/08/06 17:23:26 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:test2test2, ip:127.0.0.1
2011/08/07 15:27:06 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 15:27:10 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 15:36:03 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 15:36:08 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 15:36:31 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 15:37:13 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 15:38:54 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 15:39:16 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 15:42:14 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 15:42:19 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 15:42:54 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 15:46:33 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 15:46:47 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 15:46:52 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 16:00:15 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 16:00:35 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 16:00:40 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 16:08:09 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 16:09:17 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 16:10:10 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 16:10:22 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 16:11:40 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 16:11:54 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 16:12:22 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 16:18:50 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 16:22:36 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 16:23:44 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 17:16:59 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 17:17:26 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 17:28:04 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 17:36:27 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 17:36:35 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 17:37:33 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 17:39:12 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 17:44:37 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 17:45:26 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 17:46:12 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
2011/08/07 17:49:43 DEBUG> Ccsecure.pm:215 Ccsecure::calculate_token - in token calc, existing: , u:, ip:127.0.0.1
